questionID,topicID,assignedDifficulty,modifiedDifficulty,categoryID,assignedCompletionTime,modifiedCompletionTime,question,code
"X'281EC912C5C64B9AA8269E75849A6ED9'","X'E990EEBA5D434251A2CED1C43C294048'",1,10.00,"X'8EE7AE7D88B1405DA29123F10E8CDCAB'",60,60.00,What is the output of the following Java code?,"public class Main {
    public static void main(String[] args) {
        System.out.println(power(2, 3));
    }

    public static int power(int base, int exponent) {
        if (exponent == 0)
            return 1;
        else
            return base * power(base, exponent - 1);
    }
}"
"X'295166A1B4D4446D9532DC44881E73C8'","X'E990EEBA5D434251A2CED1C43C294048'",0,10.00,"X'417786202CD94EB89655C67365551278'",100,100.00,Write a recursive Java method to generate all permutations of a given string.,"public class Permutations {
    public void generatePermutations(String prefix, String str) {
        int n = str.length();
        if (n == 0)
            System.out.println(prefix);
        else {
            for (int i = 0; i < n; i++)
                generatePermutations(prefix + str.charAt(i), str.substring(0, i) + str.substring(i + 1, n));
        }
    }
}"
"X'29CB180576454D488FBF4B502186AB4C'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",1,10.00,"X'C3122318A52B4221B00942A1AECBC657'",30,30.00,Which Java collection class provides an implementation of the Stack interface?,
"X'2A2C82240BD14EAAADE1D84137E07602'","X'E990EEBA5D434251A2CED1C43C294048'",0,10.00,"X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",90,90.00,Implement a recursive function in Java to calculate the sum of all elements in an integer array.,"public int arraySum(int[] arr, int index) {
    if (index < 0)
        return 0;
    else
        return arr[index] + arraySum(arr, index - 1);
}"
"X'2AA3E5C8687E43FE9B3F7C7F4410DC88'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",0,10.00,"X'9CD2D9F7B6B746B6948B66EBB6B71486'",30,30.00,Which Java data structure is most suitable for implementing a waiting line for a customer service hotline?,
"X'2AB58D5CA4B34F1582771D5EE5CF4E84'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",1,10.00,"X'C3122318A52B4221B00942A1AECBC657'",40,40.00,"Which method in Java's LinkedList class is used to remove the first occurrence of a specified element?",
"X'2ADDC19B052949E1A2004E373C1AFFEA'","X'AC2FB39A11DC4A7CB7831C5921A20E46'",1,10.00,"X'C3122318A52B4221B00942A1AECBC657'",40,40.00,Evaluate the usage of FileInputStream and BufferedInputStream classes in Java for reading files efficiently.,
"X'2AE21D104FDD4B8CB40F60B4F9F79716'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",1,10.00,"X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",60,60.00,"Which method in Java's Stack class is used to retrieve and remove the top element of the stack?",
"X'2B954543225D4A239536DD2F3E11E2E9'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",0,10.00,"X'417786202CD94EB89655C67365551278'",60,60.00,"Write a Java code snippet to reverse the order of elements in an ArrayList named 'list'.",Collections.reverse(list);
"X'2BEF916FC7C34700B8370B6FE2C4D12A'","X'AC2FB39A11DC4A7CB7831C5921A20E46'",1,10.00,"X'8EE7AE7D88B1405DA29123F10E8CDCAB'",50,50.00,Explain the purpose and usage of the RandomAccessFile class in Java.,
"X'2C20DD2740E841BDA0E9027C825A9AAC'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",0,10.00,"X'8C2B51FD6B3A4D7A8FC2B0A071055062'",40,40.00,"Which of the following statements regarding the 'size()' method in Java collections is correct?",
"X'2C56D642B9724F028EAC72FFADD827BB'","X'E990EEBA5D434251A2CED1C43C294048'",1,10.00,"X'9CD2D9F7B6B746B6948B66EBB6B71486'",90,90.00,What is the base case in recursion?,
"X'2CD9D4BCB61043DC9E2C711B4D4F7944'","X'E990EEBA5D434251A2CED1C43C294048'",0,10.00,"X'9CD2D9F7B6B746B6948B66EBB6B71486'",30,30.00,Which of the following statements about recursion in Java is true?,
"X'2D0A90A2C3524D239E881577D0A961E5'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",0,10.00,"X'8C2B51FD6B3A4D7A8FC2B0A071055062'",60,60.00,Which of the following is NOT a standard Java exception?,
"X'2DEE4BE189114A1391C4B5C11D492135'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",1,10.00,"X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",50,50.00,"Which method in Java's Stack class is used to check the element at the top of the stack without removing it?",
"X'2E0C0217C9664AC0B707DE2D8F4D241B'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",0,10.00,"X'8C2B51FD6B3A4D7A8FC2B0A071055062'",40,40.00,"Which of the following is true about the 'add()' method in Java ArrayList?",
"X'2E509A2D07A743E4AD6AA28F23127629'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",0,10.00,"X'8C2B51FD6B3A4D7A8FC2B0A071055062'",35,35.00,"What happens when you try to remove an element from an empty queue in Java using the 'remove()' method?",
"X'2E90BA719889409596FFD702E7670873'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",0,10.00,"X'8C2B51FD6B3A4D7A8FC2B0A071055062'",40,40.00,What happens when you try to pop an element from an empty stack in Java?,
"X'2F292A64385E4975BF436A728B1D9648'","X'E990EEBA5D434251A2CED1C43C294048'",0,10.00,"X'9CD2D9F7B6B746B6948B66EBB6B71486'",55,55.00,How does recursion help in solving problems with repeated subproblems?,
"X'2FAF40DD962C4EC1B90DE4B7EC9F1791'","X'AC2FB39A11DC4A7CB7831C5921A20E46'",1,10.00,"X'9CD2D9F7B6B746B6948B66EBB6B71486'",40,40.00,How does the PrintWriter class differ from the FileWriter class in Java?,
"X'2FE7EF035C7442EF9F7A2D9727E9B846'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",1,10.00,"X'C3122318A52B4221B00942A1AECBC657'",30,30.00,Which Java interface extends the Queue interface and adds support for operations that access elements at both ends of the queue?,
"X'30355531581649C693DD75C186709253'","X'E990EEBA5D434251A2CED1C43C294048'",1,10.00,"X'417786202CD94EB89655C67365551278'",45,45.00,What is the output of the following Java code?,"public class Main {
    public static void main(String[] args) {
        System.out.println(sumDigits(123));
    }

    public static int sumDigits(int n) {
        if (n == 0)
            return 0;
        else
            return n % 10 + sumDigits(n / 10);
    }
}"
"X'30587DBB5D314C7BA65859B8B52098B5'","X'AC2FB39A11DC4A7CB7831C5921A20E46'",1,10.00,"X'417786202CD94EB89655C67365551278'",30,30.00,"Which Java class is used to create a new file or update the existing file's last modified time in the file system?",
"X'30863606AB8D400AA8538A06B679F926'","X'AC2FB39A11DC4A7CB7831C5921A20E46'",1,10.00,"X'417786202CD94EB89655C67365551278'",80,80.00,Write a Java program to compress a file using GZIP compression.,"import java.io.FileInputStream;
import java.io.FileOutputStream;
import java.io.IOException;
import java.util.zip.GZIPOutputStream;

public class FileCompressor {
    public static void main(String[] args) {
        try (FileInputStream in = new FileInputStream(""input.txt"");
             FileOutputStream out = new FileOutputStream(""output.gz"");
             GZIPOutputStream gzipOut = new GZIPOutputStream(out)) {
            byte[] buffer = new byte[1024];
            int len;
            while ((len = in.read(buffer)) > 0) {
                gzipOut.write(buffer, 0, len);
            }
            System.out.println(""File compressed successfully."");
        } catch (IOException e) {
            System.out.println(""Error compressing file: "" + e.getMessage());
        }
    }
}"
"X'30E8F0AC4D0E4033BB6C287877297DDC'","X'E990EEBA5D434251A2CED1C43C294048'",1,10.00,"X'8EE7AE7D88B1405DA29123F10E8CDCAB'",90,90.00,Analyze the provided Java code snippet. What is the space complexity of the recursive function?,"public int factorial(int n) {
    if (n <= 1)
        return 1;
    else
        return n * factorial(n - 1);
}"
"X'30EAB9F54D014A67B3840F2ACE372A2E'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",1,10.00,"X'8C2B51FD6B3A4D7A8FC2B0A071055062'",60,60.00,Which of the following is NOT a standard Java exception?,
"X'31E1E03A725243C2BB3560A2B6C8D220'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",1,10.00,"X'8C2B51FD6B3A4D7A8FC2B0A071055062'",60,60.00,Which of the following is a checked exception in Java?,
"X'31F5EF897F2F401DB356DD3EB52B85DC'","X'AC2FB39A11DC4A7CB7831C5921A20E46'",1,10.00,"X'C3122318A52B4221B00942A1AECBC657'",40,40.00,Evaluate the differences between InputStreamReader and FileReader classes in Java for reading character-based data.,
"X'335E0C01A8DA441AAC0CD731CEBE3CB0'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",0,10.00,"X'9CD2D9F7B6B746B6948B66EBB6B71486'",30,30.00,What is the key characteristic of a queue data structure in Java?,
"X'336A94947D81462192F96131A2350484'","X'E990EEBA5D434251A2CED1C43C294048'",1,10.00,"X'C3122318A52B4221B00942A1AECBC657'",60,60.00,Which of the following problems is NOT well-suited for recursion?,
"X'33DAF0B5FBA74AFE98E2F1346768E42A'","X'E990EEBA5D434251A2CED1C43C294048'",0,10.00,"X'9CD2D9F7B6B746B6948B66EBB6B71486'",30,30.00,Which of the following best describes the process of recursion?,
"X'33E48E402EF0489D87F89B5AE44AB10A'","X'AC2FB39A11DC4A7CB7831C5921A20E46'",1,10.00,"X'C3122318A52B4221B00942A1AECBC657'",45,45.00,Evaluate the differences between DataInputStream and ObjectInputStream classes in Java for reading binary data.,
"X'34248401F5454E71A2687040430B8809'","X'E990EEBA5D434251A2CED1C43C294048'",1,10.00,"X'C3122318A52B4221B00942A1AECBC657'",60,60.00,Evaluate the given Java code snippet. What will be the output of the function call for input 4?,"public int fibonacci(int n) {
    if (n <= 1)
        return n;
    else
        return fibonacci(n - 1) + fibonacci(n - 2);
}

System.out.println(fibonacci(4));"
"X'34BCC0390C384828A4764C1550740883'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",1,10.00,"X'8C2B51FD6B3A4D7A8FC2B0A071055062'",30,30.00,Which method is called when an exception is not caught?,
"X'3513B9659627422AB25C32807A747B71'","X'AC2FB39A11DC4A7CB7831C5921A20E46'",0,10.00,"X'8C2B51FD6B3A4D7A8FC2B0A071055062'",30,30.00,Which method in Java is used to read a line of text from the console?,
"X'35727DFC4B67449CA88D06B4320CA2D9'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",1,10.00,"X'C3122318A52B4221B00942A1AECBC657'",40,40.00,"Which method in Java's ArrayList class is used to add an element at a specific index?",
"X'35E3DE9DDDBD447FBA37F38E5ADBDF8E'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",1,10.00,"X'9CD2D9F7B6B746B6948B66EBB6B71486'",90,90.00,Which of the following statements about Java exceptions is true?,
"X'36D467BB6110498A95E3FDF51481543F'","X'AC2FB39A11DC4A7CB7831C5921A20E46'",0,10.00,"X'8C2B51FD6B3A4D7A8FC2B0A071055062'",30,30.00,Which class in Java is used to read input from a file?,
"X'36FDB9552A3347C29FA7DB0F12D89765'","X'AC2FB39A11DC4A7CB7831C5921A20E46'",1,10.00,"X'8EE7AE7D88B1405DA29123F10E8CDCAB'",40,40.00,Analyze the differences between BufferedInputStream and BufferedOutputStream classes in Java.,
"X'37125837CC1D40E9ADEB5C1BDEF99B05'","X'E990EEBA5D434251A2CED1C43C294048'",1,10.00,"X'8EE7AE7D88B1405DA29123F10E8CDCAB'",60,60.00,What does it mean if a recursive function exhibits tail recursion?,
"X'378A9DB87DA4421791A79603D5DA3030'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",0,10.00,"X'8C2B51FD6B3A4D7A8FC2B0A071055062'",60,60.00,"What does the 'getMessage()' method of the Exception class in Java return?",
"X'37A0FC27F4B945BCA436755E149324C1'","X'E990EEBA5D434251A2CED1C43C294048'",1,10.00,"X'C3122318A52B4221B00942A1AECBC657'",60,60.00,Evaluate the following Java code snippet. What will be the output of the function call for input 3?,"public int factorial(int n) {
    if (n <= 1)
        return 1;
    else
        return n * factorial(n - 1);
}

System.out.println(factorial(3));"
"X'37BBBDEE3E3F4287ABF192114C2CE457'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",1,10.00,"X'8C2B51FD6B3A4D7A8FC2B0A071055062'",50,50.00,Which of the following statements is true regarding checked and unchecked exceptions in Java?,
"X'37FADA373CB64872908A58B04BFE0770'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",1,10.00,"X'8EE7AE7D88B1405DA29123F10E8CDCAB'",60,60.00,Analyze the following Java code and identify the potential issue:,"public class ErrorAnalysis {
    public static void main(String[] args) {
        try {
            int result = divide(10, 0); // Division by zero
            System.out.println(""Result: "" + result);
        } catch (ArithmeticException e) {
            System.out.println(""Error: Division by zero"");
        }
    }

    public static int divide(int dividend, int divisor) {
        return dividend / divisor;
    }
}"
"X'39EEC1F00D8C4560BAF2A30C771BF148'","X'AC2FB39A11DC4A7CB7831C5921A20E46'",1,10.00,"X'417786202CD94EB89655C67365551278'",90,90.00,Write a Java program to read data from a file and count the number of occurrences of each word.,"import java.io.BufferedReader;
import java.io.FileReader;
import java.io.IOException;
import java.util.HashMap;
import java.util.Map;

public class WordCounter {
    public static void main(String[] args) {
        Map<String, Integer> wordCount = new HashMap<>();
        try (BufferedReader reader = new BufferedReader(new FileReader(""input.txt""))) {
            String line;
            while ((line = reader.readLine()) != null) {
                String[] words = line.split(""\\s+"");
                for (String word : words) {
                    wordCount.put(word, wordCount.getOrDefault(word, 0) + 1);
                }
            }
        } catch (IOException e) {
            System.out.println(""Error reading file: "" + e.getMessage());
        }
        for (Map.Entry<String, Integer> entry : wordCount.entrySet()) {
            System.out.println(entry.getKey() + "": "" + entry.getValue());
        }
    }
}"
"X'3A5C691FC19648708AAABD88A114113C'","X'E990EEBA5D434251A2CED1C43C294048'",0,10.00,"X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",120,120.00,Write a recursive function in Java to generate all permutations of a given array of integers.,"public void generatePermutations(int[] arr, int start, List<List<Integer>> result) {
    if (start == arr.length) {
        List<Integer> permutation = new ArrayList<>();
        for (int num : arr) {
            permutation.add(num);
        }
        result.add(permutation);
        return;
    }
    for (int i = start; i < arr.length; i++) {
        swap(arr, start, i);
        generatePermutations(arr, start + 1, result);
        swap(arr, start, i);
    }
}

private void swap(int[] arr, int i, int j) {
    int temp = arr[i];
    arr[i] = arr[j];
    arr[j] = temp;
}"
"X'3ABFF3A3E60E4BFAAAA6EB910E3A0DFD'","X'E990EEBA5D434251A2CED1C43C294048'",0,10.00,"X'8EE7AE7D88B1405DA29123F10E8CDCAB'",60,60.00,"Consider the recursive function below. What will be the output when calling mystery(5)?

```java
public int mystery(int n) {
    if (n <= 0)
        return 0;
    else
        return n + mystery(n - 2);
}
```","public int mystery(int n) {
    if (n <= 0)
        return 0;
    else
        return n + mystery(n - 2);
}"
"X'3AEA03F9720E49898B35E6484DE1B057'","X'AC2FB39A11DC4A7CB7831C5921A20E46'",1,10.00,"X'8EE7AE7D88B1405DA29123F10E8CDCAB'",50,50.00,Evaluate the differences between FileReader and FileWriter classes in Java for handling character-based file operations.,
"X'3B3C10487F2A440188617DFBEDC0DC68'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",0,10.00,"X'9CD2D9F7B6B746B6948B66EBB6B71486'",30,30.00,Which Java data structure is most suitable for managing tasks in the order they are received?,
"X'3C65C3D1363C448BBFB394A6344F7A63'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",1,10.00,"X'C3122318A52B4221B00942A1AECBC657'",60,60.00,Evaluate the given Java code and determine the output:,"
public class ErrorHandling {
    public static void main(String[] args) {
        try {
            int result = divide(10, 2); // Valid division
            System.out.println(""Result: "" + result);
        } catch (ArithmeticException e) {
            System.out.println(""Error: Division by zero"");
        }
    }

    public static int divide(int dividend, int divisor) {
        return dividend / divisor;
    }
}
"
"X'3CBB5DF01FE245EE932C8EFE8E7B5313'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",1,10.00,"X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",90,90.00,Create a Java program that reads input from the user and handles NumberFormatException gracefully by displaying an appropriate error message.,
"X'3CC7D326CF764DB798F0E77D3E53B58C'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",1,10.00,"X'417786202CD94EB89655C67365551278'",90,90.00,Explain with a Java code example how to create a custom exception class and throw it.,"public class CustomException extends Exception {
    public CustomException(String message) {
        super(message);
    }
}

public class CustomExceptionExample {
    public static void main(String[] args) {
        try {
            throw new CustomException(""Custom exception thrown"");
        } catch (CustomException e) {
            System.out.println(e.getMessage());
        }
    }
}"
"X'3E26798A4A664DA8B5F1DA74EA374BBD'","X'E990EEBA5D434251A2CED1C43C294048'",0,10.00,"X'8EE7AE7D88B1405DA29123F10E8CDCAB'",45,45.00,What is the significance of the stack in recursive function execution?,
"X'3E3EDDEC7F0044549CD5C1E5705B3E72'","X'E990EEBA5D434251A2CED1C43C294048'",0,10.00,"X'8EE7AE7D88B1405DA29123F10E8CDCAB'",60,60.00,Analyze the given Java code snippet. What is the base case for the recursive function?,"public boolean isPalindrome(String s) {
    if (s.length() <= 1)
        return true;
    else
        return s.charAt(0) == s.charAt(s.length() - 1) && isPalindrome(s.substring(1, s.length() - 1));
}"
"X'3E654A82A2E04785AC4212C17FF937FC'","X'E990EEBA5D434251A2CED1C43C294048'",1,10.00,"X'C3122318A52B4221B00942A1AECBC657'",90,90.00,Evaluate the given Java code snippet. What will be the output of the function call for input 3?,"public int fibonacci(int n) {
    if (n <= 1)
        return n;
    else
        return fibonacci(n - 1) + fibonacci(n - 2);
}

System.out.println(fibonacci(3));"
"X'3E6F657D3142439A943B60798C23EAE0'","X'E990EEBA5D434251A2CED1C43C294048'",1,10.00,"X'8EE7AE7D88B1405DA29123F10E8CDCAB'",90,90.00,"What is the time complexity of the following recursive function in terms of Big O notation?
int fibonacci(int n) {
  if (n <= 1) {
    return n;
  }
  return fibonacci(n - 1) + fibonacci(n - 2);
}
",
"X'3EFF66D57E4E499DACD594FA11A808FF'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",1,10.00,"X'C3122318A52B4221B00942A1AECBC657'",60,60.00,Evaluate the following Java code and determine the output:,"
public class ErrorHandling {
    public static void main(String[] args) {
        try {
            int result = divide(10, 0); // Division by zero
            System.out.println(""Result: "" + result);
        } catch (ArithmeticException e) {
            System.out.println(""Error: Division by zero"");
        }
    }

    public static int divide(int dividend, int divisor) {
        return dividend / divisor;
    }
}
"
"X'3F7BACCBBEF34D1BA4FC45C68C129500'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",0,10.00,"X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",90,90.00,"Create a Java program that defines a custom exception 'InvalidInputException' and throws it when the user enters a non-numeric input.",
"X'3FC5CAEA4DBA4E87939ED6521D7B1149'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",1,10.00,"X'C3122318A52B4221B00942A1AECBC657'",30,30.00,"Which method in Java's ArrayList class is used to add an element at a specific index?",
"X'400081C4B421474DA9B46805937EDFC3'","X'E990EEBA5D434251A2CED1C43C294048'",1,10.00,"X'9CD2D9F7B6B746B6948B66EBB6B71486'",90,90.00,What is tail recursion?,
"X'403AF5B525B2445F80A82ED70811E224'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",0,10.00,"X'8C2B51FD6B3A4D7A8FC2B0A071055062'",40,40.00,Which method in Java Stack class is used to retrieve but not remove the element at the top of the stack?,
"X'41439E0EB5FA4D3FB3DEFADBCE11182A'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",1,10.00,"X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",90,90.00,"Create a Java program that defines a custom exception 'InvalidPasswordException' and throws it when the length of the password entered by the user is less than 8 characters.",
"X'420F23C5101F44AB98DCC78431B8F647'","X'AC2FB39A11DC4A7CB7831C5921A20E46'",0,10.00,"X'8C2B51FD6B3A4D7A8FC2B0A071055062'",25,25.00,Which method in Java is used to write a line of text to a file?,
"X'4221FCD9E507492E99975C6E5197264F'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",1,10.00,"X'9CD2D9F7B6B746B6948B66EBB6B71486'",90,90.00,"What is the difference between 'printStackTrace()' and 'getMessage()' methods in Java exceptions?",
"X'4224464C062A49F080E33B228851AB31'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",0,10.00,"X'8C2B51FD6B3A4D7A8FC2B0A071055062'",20,20.00,Which keyword is used to explicitly throw an exception within a method in Java?,
"X'42860377218E404BA5EB04A41AF93C02'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",1,10.00,"X'9CD2D9F7B6B746B6948B66EBB6B71486'",50,50.00,Explain the concept of a stack in Java and provide an example scenario where it can be used.,
"X'4305B4E841B147669F9BB00ECBC803C4'","X'E990EEBA5D434251A2CED1C43C294048'",1,10.00,"X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",90,90.00,Write a recursive function in Java to check if a given string is a palindrome.,"public boolean isPalindrome(String s) {
    if (s.length() <= 1)
        return true;
    else
        return s.charAt(0) == s.charAt(s.length() - 1) && isPalindrome(s.substring(1, s.length() - 1));
}"
"X'43C213AA0C734E15B8A728A5DADFC414'","X'E990EEBA5D434251A2CED1C43C294048'",0,10.00,"X'417786202CD94EB89655C67365551278'",70,70.00,Implement a recursive function in Java to compute the nth Fibonacci number.,"public class Fibonacci {
    public int calculateFibonacci(int n) {
        if (n <= 1)
            return n;
        else
            return calculateFibonacci(n - 1) + calculateFibonacci(n - 2);
    }
}"
"X'4445E2CD41C3458B9BAA90505A2E7F5B'","X'AC2FB39A11DC4A7CB7831C5921A20E46'",0,10.00,"X'8C2B51FD6B3A4D7A8FC2B0A071055062'",25,25.00,Which class in Java is used to read input from the console?,
"X'45983BA70C14454D9FA4D157A70FF34B'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",1,10.00,"X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",60,60.00,Which Java collection class allows for key-value pairs and does not allow duplicate keys?,
"X'45AEEBA1632F481E9BD5B72F95275821'","X'E990EEBA5D434251A2CED1C43C294048'",0,10.00,"X'417786202CD94EB89655C67365551278'",90,90.00,"What is the output of the following recursive function in Java?
void countDown(int n) {
  if (n == 0) {
    return;
  }
  System.out.print(n + "" "");
  countDown(n - 1);
}
countDown(5);",
"X'45EEA478FFA24907BFDA4D70F99AB556'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",1,10.00,"X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",60,60.00,Which Java interface provides a collection that maintains order and allows duplicates?,
"X'471958D511AE46F0939E03B88C5CB2D5'","X'E990EEBA5D434251A2CED1C43C294048'",1,10.00,"X'417786202CD94EB89655C67365551278'",60,60.00,Which of the following recursive functions correctly calculates the Fibonacci sequence?,
"X'4762AC9F9C5346129D46ABBF4F26D259'","X'E990EEBA5D434251A2CED1C43C294048'",0,10.00,"X'9CD2D9F7B6B746B6948B66EBB6B71486'",60,60.00,Which of the following is NOT a characteristic of recursive algorithms?,
"X'47C22DDE1D7B41EA81E19AFBF5908482'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",1,10.00,"X'C3122318A52B4221B00942A1AECBC657'",60,60.00,Evaluate the following Java code and determine the output:,"
public class ErrorHandling {
    public static void main(String[] args) {
        try {
            int result = divide(10, 2); // Valid division
            System.out.println(""Result: "" + result);
        } catch (ArithmeticException e) {
            System.out.println(""Error: Division by zero"");
        }
    }

    public static int divide(int dividend, int divisor) {
        return dividend / divisor;
    }
}
"
"X'47FD5ED990CB457FBB893B0731E09198'","X'E990EEBA5D434251A2CED1C43C294048'",1,10.00,"X'8EE7AE7D88B1405DA29123F10E8CDCAB'",60,60.00,"Consider the following recursive function in Java:

```
public int factorial(int n) {
    if (n == 0)
        return 1;
    else
        return n * factorial(n - 1);
}
```

What is the base case of this function?",
"X'48851B343FA24A318BF67E03AEA78448'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",1,10.00,"X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",60,60.00,"Which method in Java's PriorityQueue class is used to check if the queue is empty?",
"X'49D2F33B8C324D93B8EADC9327B3DE8C'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",1,10.00,"X'8EE7AE7D88B1405DA29123F10E8CDCAB'",60,60.00,"Analyzing the following Java code snippet, identify the potential error and suggest a correction:","public class ErrorAnalysis {
    public static void main(String[] args) {
        try {
            int[] arr = new int[5];
            arr[6] = 10; // ArrayIndexOutOfBoundsException
        } catch (ArrayIndexOutOfBoundsException e) {
            System.out.println(""Array index out of bounds"");
        } catch (Exception e) {
            System.out.println(""Exception occurred: "" + e.getMessage());
        }
    }
}"
"X'4A336F50C86C4DBF95A5E761DD4F9F18'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",0,10.00,"X'9CD2D9F7B6B746B6948B66EBB6B71486'",60,60.00,"What is the purpose of the 'getMessage()' method in Java exceptions?",
"X'4A7AA46DF5034DAB81EB25466D285309'","X'AC2FB39A11DC4A7CB7831C5921A20E46'",0,10.00,"X'9CD2D9F7B6B746B6948B66EBB6B71486'",35,35.00,Explain the purpose of InputStream in Java I/O.,
"X'4A88D19B54CD42489EAC2EAD4C682F17'","X'E990EEBA5D434251A2CED1C43C294048'",0,10.00,"X'8EE7AE7D88B1405DA29123F10E8CDCAB'",60,60.00,"What will be the time complexity of the following recursive function in terms of Big O notation?

```java
public int recursiveFunction(int n) {
    if (n <= 1)
        return n;
    else
        return recursiveFunction(n - 1) + recursiveFunction(n - 2);
}
```",
"X'4B44BE1960BE4A2DB9AD6F31984634B5'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",0,10.00,"X'8C2B51FD6B3A4D7A8FC2B0A071055062'",60,60.00,Which of the following is NOT a standard Java exception?,
"X'4B4B6423E37946EDBE214565A7AA9213'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",1,10.00,"X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",45,45.00,Which Java collection class maintains the elements in sorted order?,
"X'4CB082C0D19C422789FA951F8C05868D'","X'E990EEBA5D434251A2CED1C43C294048'",1,10.00,"X'C3122318A52B4221B00942A1AECBC657'",90,90.00,Evaluate the given Java code snippet. What will be the output of the function call for input 5?,"public int factorial(int n) {
    if (n <= 1)
        return 1;
    else
        return n * factorial(n - 1);
}

System.out.println(factorial(5));"
"X'4D337187648F49308F6E5A5424598CE7'","X'E990EEBA5D434251A2CED1C43C294048'",0,10.00,"X'417786202CD94EB89655C67365551278'",90,90.00,"What is the output of the following recursive function in Java?
int sum(int n) {
  if (n <= 0) {
    return 0;
  }
  return n + sum(n - 1);
}
sum(4);",
"X'4D7DA4CD4E81405C9FDA86DE06118953'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'",1,10.00,"X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",60,60.00,"Which method in Java's Stack class is used to push an element onto the top of the stack?",
"X'4DEF9449DC7E45709F2B2821388C9FE9'","X'E990EEBA5D434251A2CED1C43C294048'",1,10.00,"X'C3122318A52B4221B00942A1AECBC657'",90,90.00,Evaluate the given Java code snippet. What will be the output of the function call for input 5?,"public int factorial(int n) {
    if (n <= 1)
        return 1;
    else
        return n * factorial(n - 1);
}

System.out.println(factorial(5));"
"X'4E2EAA2339AF4CBA879D1F7DCA35815C'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'",0,10.00,"X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",90,90.00,"Create a Java program that handles ArithmeticException by printing 'Arithmetic Exception Occurred' and terminating gracefully.",
